,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
5525,TON,2007,13.2615972198
5526,TON,2008,13.2538908201
5527,TON,2009,13.256726238399999
5528,TON,2010,13.2586516271
5529,TON,2011,13.259716935799998
5530,TON,2012,13.261873422799999
5531,TON,2013,13.2583415571
5532,TON,2014,13.262548128699999
5533,TON,2015,13.2674121174
5534,TON,2016,13.268660886400001
5535,TTO,1990,16.0722012845
5536,TTO,1991,16.057047451600006
5537,TTO,1992,16.054211790500002
5538,TTO,1993,16.0456411571
5539,TTO,1994,16.040985336
5540,TTO,1995,16.026601403999994
5541,TTO,1996,16.0157919128
5542,TTO,1997,16.02166975
5543,TTO,1998,16.0184991219
5544,TTO,1999,16.019258933499998
5545,TTO,2000,16.015626815199994
5546,TTO,2001,16.0192262007
5547,TTO,2002,16.0098811337
5548,TTO,2003,16.0257307493
5549,TTO,2004,16.0320168764
5550,TTO,2005,16.0308993033
5551,TTO,2006,16.0445587546
5552,TTO,2007,16.052515938499997
5553,TTO,2008,16.0596858455
5554,TTO,2009,16.0690965051
5555,TTO,2010,16.082374719199994
5556,TTO,2011,16.0849324504
5557,TTO,2012,16.0990052632
5558,TTO,2013,16.118743174400002
5559,TTO,2014,16.1265050529
5560,TTO,2015,16.134240924
5561,TTO,2016,16.1454307847
5562,,1990,17.4184874619
5563,,1991,17.4399416617
5564,,1992,17.4643242221
5565,,1993,17.4815869556
5566,,1994,17.503849844
5567,,1995,17.5255714157
5568,,1996,17.7528426927
5569,,1997,17.9886517847
5570,,1998,18.2370467239
5571,,1999,18.4880196855
5572,,2000,18.7579400539
5573,,2001,18.7932877231
5574,,2002,18.8344698275
5575,,2003,18.8785515897
5576,,2004,18.920039901
5577,,2005,18.970447931600003
5578,,2006,18.8518324528
5579,,2007,18.7381337575
5580,,2008,18.631286125400003
5581,,2009,18.5296107243
5582,,2010,18.4426148426
5583,,2011,18.3562789246
5584,,2012,18.2737152698
5585,,2013,18.1922099554
5586,,2014,18.1168880404
5587,,2015,18.0458671491
5588,,2016,17.9763317331
5589,TUN,1990,17.1125363754
5590,TUN,1991,17.107511788900002
5591,TUN,1992,17.117367038599998
5592,TUN,1993,17.118043564100002
5593,TUN,1994,17.1205253195
5594,TUN,1995,17.131070743400002
5595,TUN,1996,17.135846443
5596,TUN,1997,17.1493571926
5597,TUN,1998,17.1444176983
5598,TUN,1999,17.1741390561
5599,TUN,2000,17.1810565745
5600,TUN,2001,17.1782626587
5601,TUN,2002,17.1799190867
5602,TUN,2003,17.164138189299994
5603,TUN,2004,17.174682442599998
5604,TUN,2005,17.173090285
5605,TUN,2006,17.1733232043
5606,TUN,2007,17.1705858725
5607,TUN,2008,17.176739526800002
5608,TUN,2009,17.1695261118
5609,TUN,2010,17.177270511299998
5610,TUN,2011,17.175879529499998
5611,TUN,2012,17.173477516400002
5612,TUN,2013,17.1715573095
5613,TUN,2014,17.183079155799998
5614,TUN,2015,17.1762578601
5615,TUN,2016,17.1803495345
5616,TUR,1990,16.4826796948
5617,TUR,1991,16.4716751947
5618,TUR,1992,16.4558867665
5619,TUR,1993,16.442929873100002
5620,TUR,1994,16.4257063758
5621,TUR,1995,16.405001697499998
5622,TUR,1996,16.469916478400002
5623,TUR,1997,16.528012221300003
5624,TUR,1998,16.5865018585
5625,TUR,1999,16.6496412202
5626,TUR,2000,16.7172891024
5627,TUR,2001,16.7630994927
5628,TUR,2002,16.8038007464
5629,TUR,2003,16.8461153332
5630,TUR,2004,16.8977923486
5631,TUR,2005,16.9442684063
5632,TUR,2006,16.9296889167
5633,TUR,2007,16.9113032325
5634,TUR,2008,16.895830278800002
5635,TUR,2009,16.8831101821
5636,TUR,2010,16.8658481378
5637,TUR,2011,16.852084665299998
5638,TUR,2012,16.8336393674
5639,TUR,2013,16.8243211916
5640,TUR,2014,16.8029923311
5641,TUR,2015,16.7929592013
5642,TUR,2016,16.777829661600002
5643,TKM,1990,13.6009575051
5644,TKM,1991,13.584253114900001
5645,TKM,1992,13.6226590795
5646,TKM,1993,13.663394079000001
5647,TKM,1994,13.7442716339
5648,TKM,1995,13.765668805699999
5649,TKM,1996,13.793547492800002
5650,TKM,1997,13.8100317603
5651,TKM,1998,13.823225730599999
5652,TKM,1999,13.839455420699998
5653,TKM,2000,13.843012422200001
5654,TKM,2001,13.8473911496
5655,TKM,2002,13.856013983499999
5656,TKM,2003,13.869080744200001
5657,TKM,2004,13.860509121500002
5658,TKM,2005,13.8739414729
5659,TKM,2006,13.8660010595
5660,TKM,2007,13.8491841112
5661,TKM,2008,13.845131617699998
5662,TKM,2009,13.8371699622
5663,TKM,2010,13.8285076184
5664,TKM,2011,13.8286576803
5665,TKM,2012,13.8337226924
5666,TKM,2013,13.8378438153
5667,TKM,2014,13.845438245599999
5668,TKM,2015,13.847052306499998
5669,TKM,2016,13.8546514481
5670,UGA,1990,17.1283657721
5671,UGA,1991,17.152479280999998
5672,UGA,1992,17.200255832
5673,UGA,1993,17.231609218499994
5674,UGA,1994,17.2734210206
5675,UGA,1995,17.312405803900003
5676,UGA,1996,17.3435780598
5677,UGA,1997,17.3768171282
5678,UGA,1998,17.4131383495
5679,UGA,1999,17.4489126813
5680,UGA,2000,17.5009942597
5681,UGA,2001,17.476538736800002
5682,UGA,2002,17.4625866355
5683,UGA,2003,17.441798081600002
5684,UGA,2004,17.4316596081
5685,UGA,2005,17.4111178128
5686,UGA,2006,17.332233964
5687,UGA,2007,17.247022572099993
5688,UGA,2008,17.167140407
5689,UGA,2009,17.1009629812
5690,UGA,2010,17.032258362
5691,UGA,2011,16.9814679658
5692,UGA,2012,16.9392660213
5693,UGA,2013,16.8874848829
5694,UGA,2014,16.8485362582
5695,UGA,2015,16.7938018175
5696,UGA,2016,16.7535949081
5697,UKR,1990,17.500883768799998
5698,UKR,1991,17.4836326844
5699,UKR,1992,17.474560143399998
5700,UKR,1993,17.4641411692
5701,UKR,1994,17.4633814376
5702,UKR,1995,17.4517872501
5703,UKR,1996,17.4817838149
5704,UKR,1997,17.4998204411
5705,UKR,1998,17.5229743893
5706,UKR,1999,17.554151217799998
5707,UKR,2000,17.5748274075
5708,UKR,2001,17.548146596600002
5709,UKR,2002,17.521948092
5710,UKR,2003,17.5050403132
5711,UKR,2004,17.4792673472
5712,UKR,2005,17.4523109436
5713,UKR,2006,17.4472039936
5714,UKR,2007,17.429791145699998
5715,UKR,2008,17.4315191841
5716,UKR,2009,17.4100995726
5717,UKR,2010,17.416773457199998
5718,UKR,2011,17.4048927881
5719,UKR,2012,17.397101113599998
5720,UKR,2013,17.3742675967
5721,UKR,2014,17.3778061591
5722,UKR,2015,17.360401609300002
5723,UKR,2016,17.3540951836
5724,ARE,1990,14.9260071412
5725,ARE,1991,14.937910508800002
5726,ARE,1992,14.939306482200001
5727,ARE,1993,14.9622014525
5728,ARE,1994,14.9638294948
5729,ARE,1995,14.9821875653
5730,ARE,1996,14.9882841303
5731,ARE,1997,14.993641514799998
5732,ARE,1998,14.9853513228
5733,ARE,1999,14.9853037628
5734,ARE,2000,14.992788819500001
5735,ARE,2001,14.998894876800001
5736,ARE,2002,15.009821199500001
5737,ARE,2003,14.993135005
5738,ARE,2004,14.992526258699998
5739,ARE,2005,14.996454505099999
5740,ARE,2006,14.9960627226
5741,ARE,2007,14.9956462964
5742,ARE,2008,14.985211989800003
5743,ARE,2009,14.972324611999998
5744,ARE,2010,14.963837097699999
5745,ARE,2011,14.9747700012
5746,ARE,2012,14.988481560699999
5747,ARE,2013,15.005706880999998
5748,ARE,2014,15.001132878099996
5749,ARE,2015,15.009100748000002
5750,ARE,2016,15.0233966657
5751,GBR,1990,17.4600743473
5752,GBR,1991,17.4945720532
